"","V1"
"420",4
"421",5
"422",1
"423",6
"424",6
"425",4
"426",5
"427",6
"428",5
"429",4
"430",2
"431",6
"432",4
"433",2
"434",4
"435",1
"436",2
"437",3
"438",1
"439",2
"440",2
"441",5
"442",4
"443",6
"444",1
"445",1
"446",6
"447",5
"448",4
"449",2
"450",4
"451",4
"452",2
"453",5
"454",5
"455",6
"456",5
"457",5
"458",5
"459",5
"460",6
"461",6
"462",1
"463",6
"464",5
"465",6
"466",2
"467",4
"468",3
"469",1
"470",5
"471",4
"472",4
"473",6
"474",5
"475",6
"476",1
"477",2
"478",3
"479",6
"480",3
"481",4
"482",2
"483",3
"484",6
"485",1
"486",5
"487",6
"488",1
"489",4
"490",4
"491",2
"492",4
"493",2
"494",3
"495",5
"496",2
"497",6
"498",6
"499",2
"500",5
"501",6
"502",6
"503",5
"504",6
"505",3
"506",1
"507",6
"508",4
"509",6
"510",6
"511",6
"512",6
"513",2
"514",4
"515",2
"516",3
"517",5
"518",1
"519",1
"520",2
"521",1
"522",1
"523",3
"524",5
"525",2
"526",4
"527",2
"528",3
"529",2
"530",2
"531",4
"532",5
"533",6
"534",6
"535",3
"536",2
"537",2
"538",6
"539",6
"540",6
"541",3
"542",6
"543",4
"544",2
"545",6
"546",2
"547",5
"548",3
"549",1
"550",1
"551",6
"552",4
"553",5
"554",4
"555",6
"556",4
"557",1
"558",6
"559",2
"560",2
"561",5
"562",5
"563",6
"564",6
"565",6
"566",3
"567",3
"568",6
"569",1
"570",5
"571",2
"572",6
"573",3
"574",6
"575",6
"576",3
"577",1
"578",5
"579",6
"580",2
"581",2
"582",2
"583",3
"584",2
"585",2
"586",6
"587",2
"588",5
"589",1
"590",3
"591",5
"592",1
"593",1
"594",1
"595",6
"596",4
"597",4
"598",1
"599",5
"600",3
"601",2
"602",2
"603",6
"604",3
"605",1
"606",1
"607",5
"608",2
"609",5
"610",6
"611",6
"612",3
"613",3
"614",2
"615",1
"616",5
"617",1
"618",2
"619",6
"620",3
"621",3
"622",3
"623",4
"624",4
"625",6
"626",6
"627",6
"628",6
"629",5
"630",6
"631",5
"632",1
"633",2
"634",5
"635",6
"636",3
"637",6
"638",2
"639",5
"640",1
"641",6
"642",5
"643",5
"644",6
"645",3
"646",6
"647",3
"648",6
"649",5
"650",4
"651",3
"652",3
"653",2
"654",4
"655",3
"656",6
"657",1
"658",6
"659",3
"660",4
"661",1
"662",3
"663",6
"664",1
"665",5
"666",6
"667",5
"668",5
"669",2
"670",4
"671",4
"672",6
"673",1
"674",5
"675",3
"676",3
"677",5
"678",5
"679",5
"680",1
"681",2
"682",4
"683",6
"684",6
"685",2
"686",3
"687",1
"688",6
"689",4
"690",6
"691",5
"692",1
"693",1
"694",6
"695",5
"696",1
"697",4
"698",5
"699",5
"700",3
"701",1
"702",5
"703",6
"704",5
"705",3
"706",5
"707",4
"708",6
"709",6
"710",1
"711",4
"712",1
"713",3
"714",2
"715",2
"716",5
"717",5
"718",4
"719",4
"720",3
"721",5
"722",6
"723",5
"724",3
"725",4
"726",1
"727",4
"728",3
"729",6
"730",2
"731",5
"732",6
"733",4
"734",6
"735",1
"736",4
"737",2
"738",5
"739",6
"740",5
"741",5
"742",6
"743",5
"744",2
"745",1
"746",3
"747",3
"748",6
"749",1
"750",5
"751",6
"752",1
"753",5
"754",1
"755",6
"756",6
"757",4
"758",6
"759",3
"760",1
"761",1
"762",4
"763",3
"764",1
"765",2
"766",2
"767",1
"768",6
"769",6
"770",2
"771",1
"772",1
"773",4
"774",2
"775",3
"776",3
"777",1
"778",5
"779",5
"780",6
"781",5
"782",1
"783",4
"784",6
"785",6
"786",6
"787",6
"788",1
"789",4
"790",5
"791",4
"792",6
"793",2
"794",5
"795",1
"796",6
"797",2
"798",3
"799",5
"800",2
"801",4
"802",5
"803",6
"804",2
"805",6
"806",6
"807",6
"808",6
"809",6
"810",5
"811",4
"812",6
"813",1
"814",6
"815",3
"816",2
"817",1
"818",5
"819",4
"820",4
"821",4
"822",4
"823",6
"824",1
"825",6
"826",5
"827",3
"828",6
"829",1
"830",4
"831",1
"832",4
"833",3
"834",1
"835",1
"836",5
"837",6
"838",3
"839",5
"840",3
"841",5
"842",4
"843",4
"844",5
"845",4
"846",6
"847",2
"848",5
"849",3
"850",3
"851",6
"852",3
"853",6
"854",2
"855",3
"856",6
"857",5
"858",5
"859",3
"860",2
"861",4
"862",4
"863",5
"864",2
"865",1
"866",2
"867",1
"868",5
"869",1
"870",3
"871",4
"872",6
"873",4
"874",6
"875",6
"876",2
"877",6
"878",1
"879",6
"880",3
"881",3
"882",3
"883",6
"884",2
"885",3
"886",3
"887",1
"888",3
"889",2
"890",2
"891",2
"892",4
"893",5
"894",1
"895",2
"896",5
"897",6
"898",4
"899",6
"900",5
"901",1
"902",6
"903",3
"904",5
"905",6
"906",1
"907",5
"908",6
"909",3
"910",6
"911",2
"912",6
"913",2
"914",6
"915",3
"916",3
"917",4
"918",6
"919",3
"920",1
"921",2
"922",3
"923",6
"924",5
"925",2
"926",1
"927",6
"928",3
"929",5
"930",3
"931",3
"932",2
"933",6
"934",4
"935",6
"936",6
"937",3
"938",3
"939",2
"940",2
"941",2
"942",6
"943",4
"944",6
"945",6
"946",6
"947",3
"948",1
"949",1
"950",2
"951",5
"952",6
"953",1
"954",5
"955",4
"956",6
"957",3
"958",2
"959",5
"960",3
"961",3
"962",5
"963",1
"964",3
"965",1
"966",6
"967",6
"968",5
"969",5
"970",1
"971",6
"972",6
"973",5
"974",4
"975",1
"976",1
"977",6
"978",1
"979",3
"980",3
"981",3
"982",5
"983",6
"984",6
"985",5
"986",2
"987",2
"988",1
"989",1
"990",3
"991",5
"992",1
"993",3
"994",3
"995",6
"996",3
"997",1
"998",6
"999",2
"1000",5
